LAT,LONG,GOBS
-20.46708,-54.72335,978504.38
-20.45809,-54.72636,978510.45
-20.44953,-54.72840,978511.13
-20.43721,-54.73212,978501.72
-20.43109,-54.73394,978500.60
-20.42570,-54.73593,978501.51
-20.41850,-54.73795,978498.07
-20.41310,-54.73947,978497.49
-20.40861,-54.74097,978496.25
-20.40231,-54.74298,978495.60
-20.39511,-54.74500,978497.67
-20.38882,-54.74701,978500.14
-20.38162,-54.74903,978512.82
-20.37488,-54.75152,978520.40
-20.36768,-54.75354,978518.37
-20.36003,-54.75557,978525.61
-20.35284,-54.75806,978524.04
-20.34653,-54.75959,978525.52
-20.33979,-54.76160,978530.57
-20.33260,-54.76458,978535.34
-20.32630,-54.76658,978534.69
-20.32001,-54.76859,978538.15
-20.31461,-54.77010,978538.64
-20.30696,-54.77213,978537.97
-20.29975,-54.77366,978531.84
-20.29392,-54.77662,978529.60
-20.40782,-54.74960,978497.82
-20.40788,-54.75487,978502.75
-20.40887,-54.76108,978509.48
-20.40762,-54.76972,978509.11
-20.40411,-54.77744,978513.37
-20.40014,-54.78516,978517.02
-20.39775,-54.73969,978496.02
-20.40401,-54.73481,978495.31
-20.41028,-54.73041,978492.38
-20.41108,-54.72274,978488.91
-20.41233,-54.71458,978491.54
-20.41400,-54.70449,978491.54
-20.41478,-54.69538,978493.36
-20.41558,-54.68723,978489.47
-20.41684,-54.68003,978488.55
-20.28672,-54.77864,978531.10
-20.28936,-54.77286,978530.96
-20.29244,-54.76659,978529.74
-20.28875,-54.76090,978526.36
-20.28240,-54.75812,978520.26
-20.27514,-54.75535,978519.31
-20.26878,-54.75305,978518.29
-20.29174,-54.78287,978529.67
-20.29811,-54.78661,978530.85
-20.30176,-54.78943,978533.51
-20.30802,-54.78456,978540.85
-20.31616,-54.78540,978537.94
-20.32332,-54.78051,978533.93
-20.41809,-54.67234,978489.17
-20.41709,-54.66517,978486.18
-20.41205,-54.65949,978484.99
-20.41192,-54.65040,978481.49
-20.41817,-54.64503,978482.34
-20.42540,-54.64492,978480.54
-20.42893,-54.63912,978478.19
-20.43153,-54.63142,978481.95
-20.43687,-54.62511,978490.82
-20.44400,-54.61877,978494.97
-20.44896,-54.61774,978495.86
-20.49226,-54.71579,978505.04
-20.49991,-54.71328,978504.25
-20.50710,-54.71126,978500.95
-20.51429,-54.70827,978501.73
-20.52329,-54.70622,978505.92
-20.52914,-54.70422,978505.51
-20.53544,-54.70269,978506.29
-20.53993,-54.70118,978508.57
-20.54658,-54.69821,978510.68
-20.55411,-54.69474,978511.90
