LAT,LONG,GOBS
-22.71980,-51.16060,978658.25
-22.58850,-51.07310,978636.04
-22.54490,-51.56260,978637.13
-22.51470,-51.03260,978621.15
-22.51450,-51.03290,978621.46
-22.51320,-51.54960,978631.40
-22.50570,-51.02920,978627.41
-22.50570,-51.54990,978631.40
-22.49870,-51.55010,978631.59
-22.49790,-51.02510,978628.69
-22.47790,-51.01620,978620.95
-22.43540,-51.54890,978629.89
-22.43390,-51.54710,978629.89
-22.57650,-51.56220,978643.86
-22.77020,-51.36670,978645.93
-22.76950,-51.36640,978645.93
-22.78820,-51.43170,978652.95
-22.78770,-51.13060,978659.81
-22.78100,-51.30310,978660.18
-22.77850,-51.23010,978651.76
-22.77440,-51.56040,978668.68
-22.64370,-51.55120,978653.49
-22.65370,-51.11960,978629.89
-22.75620,-51.37710,978647.48
-22.74320,-51.18970,978657.02
-22.73450,-51.34540,978640.66
-22.99850,-51.64940,978652.66
-22.68100,-51.13120,978646.59
-22.80820,-51.51090,978647.98
-22.80200,-51.59040,978649.20
-22.58370,-50.49550,978604.32
-22.71290,-50.39830,978612.51
-22.71150,-50.39830,978612.27
-22.81870,-51.59620,978641.83
-22.65540,-50.41860,978589.54
-22.62490,-50.44110,978597.02
-22.59680,-50.46460,978600.12
-22.74570,-50.38700,978616.63
-22.56100,-50.53080,978613.68
-22.56050,-50.53110,978613.45
-22.52100,-50.55000,978620.67
-22.67490,-50.41450,978595.49
-22.45600,-50.58530,978611.30
-22.44700,-50.99220,978619.44
-22.50190,-50.57280,978626.63
-22.87120,-50.22360,978644.09
-22.77230,-50.24450,978626.76
-22.99900,-50.26660,978632.08
-22.93900,-50.25660,978651.15
-22.90770,-50.23580,978651.95
-22.76400,-50.35580,978623.16
-22.83400,-50.23650,978634.59
-22.83350,-50.23530,978634.79
-22.81270,-50.30780,978645.61
-22.79770,-50.33460,978633.01
-22.79690,-50.27500,978635.68
-22.78950,-50.22660,978625.79
-22.81540,-51.08210,978651.36
-22.94620,-51.64670,978647.00
-22.85500,-51.02470,978662.30
-22.97100,-51.64960,978639.38
-22.94200,-51.64420,978647.00
-22.93950,-51.02260,978660.29
-22.87700,-51.61040,978651.89
-22.86620,-51.02220,978663.45
-22.85320,-51.60810,978654.01
-26.13990,-53.03010,978810.90
-25.98490,-48.87000,978966.80
-25.95980,-48.89000,978955.20
-25.89490,-48.93000,978917.90
-26.20400,-51.04510,978802.62
-26.22650,-52.67340,978801.40
-26.06480,-52.57510,978837.90
-26.72650,-53.51850,978865.00
-25.83480,-49.06000,978813.10
-26.37990,-53.22010,978803.10
-25.94480,-48.90500,978942.40
-26.23320,-51.08510,978809.86
-25.45830,-49.52880,978743.19
-25.68650,-48.98000,978829.50
-25.79990,-49.13500,978790.10
-25.46020,-49.52710,978743.01
-25.45980,-49.52830,978741.20
-25.45830,-49.52900,978743.17
-25.44350,-49.50000,978744.16
-25.95590,-50.84460,978778.56
-25.95570,-50.84500,978778.56
-25.94980,-50.84380,978782.34
-25.70320,-48.94000,978889.60
-25.69320,-48.96000,978837.20
-25.82980,-49.10500,978795.20
-25.99990,-49.79000,978779.80
-26.42490,-51.09560,978745.90
-26.22900,-51.07060,978809.86
-25.89800,-50.37750,978780.74
-26.15250,-50.32260,978793.03
-26.17430,-50.91840,978799.52
-26.19150,-50.00000,978776.42
-26.18190,-50.94890,978789.88
-26.04320,-50.82860,978788.27
-26.17400,-50.39110,978804.02
-26.17340,-50.03630,978787.98
-26.23520,-50.79800,978805.51
-26.13820,-50.88960,978791.77
-26.13820,-50.89160,978791.77
-26.10940,-50.86360,978791.92
-26.08040,-50.83710,978777.16
-26.07850,-50.78780,978780.97
-26.07200,-50.75410,978787.03
-26.19980,-50.99920,978801.61
-26.03870,-50.83410,978786.84
-26.32320,-50.60700,978806.14
-26.27190,-50.85280,978802.85
-26.52120,-50.85130,978756.34
-26.49990,-50.22000,978820.20
-26.27950,-51.07920,978777.32
-26.33100,-50.64580,978810.35
-26.32490,-50.17500,978801.00
-26.25990,-50.07000,978804.70
-26.31850,-50.68580,978807.89
-26.30520,-50.72250,978803.26
-26.30440,-50.66960,978806.23
-26.29940,-50.93090,978806.24
-26.27200,-50.85280,978802.85
-26.26940,-50.75210,978792.29
-26.39490,-50.21500,978807.20
-26.27850,-51.11960,978771.12
-26.37040,-51.08010,978777.32
-26.37150,-51.25560,978803.67
-26.53550,-51.14910,978777.78
-26.47150,-51.15420,978738.63
-26.37490,-51.17970,978760.00
-26.36490,-51.14920,978757.69
-26.59290,-51.10970,978752.16
-26.36700,-51.22310,978781.94
-26.33040,-51.24560,978799.96
-26.31150,-51.21370,978772.62
-26.29850,-51.18340,978772.35
-26.28120,-51.02790,978810.15
-26.53600,-51.15010,978777.78
-26.01270,-50.70830,978779.87
-26.62350,-51.04140,978754.68
-26.64770,-51.00890,978743.25
-25.93780,-50.82380,978769.83
-26.57900,-50.88330,978754.95
-25.88350,-50.82560,978768.52
-25.45320,-51.43640,978689.69
-25.51230,-51.36620,978656.38
-25.45240,-51.43890,978689.69
-25.49700,-51.40260,978693.64
-25.84480,-50.77910,978767.18
-25.57040,-51.01210,978672.02
-25.57020,-51.08540,978674.12
-25.56240,-51.28420,978645.48
-25.56190,-51.28670,978645.48
-25.52820,-51.33510,978651.10
-25.52690,-51.33540,978651.10
-25.57070,-51.01140,978672.02
-25.43600,-51.46960,978692.89
-25.40100,-51.46670,978674.17
-25.39990,-51.75010,978704.80
-25.39440,-51.47040,978672.68
-26.62570,-50.92790,978732.91
-25.88200,-50.80210,978756.07
-25.43240,-50.05000,978754.71
-25.42690,-50.16050,978726.90
-25.42650,-50.40580,978726.68
-25.42190,-50.10410,978736.88
-25.45480,-50.32950,978726.43
-25.41990,-50.57660,978746.28
-25.53070,-50.63780,978751.70
-25.41570,-50.00080,978746.29
-25.45480,-50.38000,978743.84
-25.57350,-50.90760,978721.60
-25.75490,-50.83200,978745.04
-25.45900,-50.35080,978720.98
-25.72400,-50.77660,978753.87
-25.69820,-50.76380,978755.41
-25.65820,-50.74200,978748.43
-25.62150,-50.69000,978763.89
-25.45480,-50.20660,978748.20
-25.56950,-50.94670,978722.58
-25.56940,-50.94720,978722.58
-25.55930,-50.87530,978751.56
-25.62200,-51.20340,978678.31
-25.46650,-50.45660,978749.31
-25.46370,-50.26250,978740.76
-25.57570,-51.08390,978674.12
-25.09050,-50.16510,978715.14
-25.62240,-51.20420,978678.31
-25.07870,-50.15360,978714.21
-25.10620,-50.16050,978729.03
-25.60450,-51.14470,978702.84
-25.61320,-51.28040,978665.33
-25.61320,-51.28560,978665.33
-25.60450,-51.14290,978702.84
-25.09480,-50.16000,978713.50
-25.38320,-50.43660,978749.32
