LAT,LONG,layer,h,g,x,y
-23.78981,-53.96707,ANP,"235",978773.80,"5003356","7367991"
-23.79020,-53.96619,ANP,"248",978771.12,"5003446","7367947"
-23.79059,-53.96530,ANP,"258",978768.55,"5003536","7367904"
-23.79098,-53.96442,ANP,"268",978766.35,"5003626","7367861"
-23.79137,-53.96353,ANP,"276",978764.52,"5003717","7367818"
-23.79176,-53.96265,ANP,"276",978764.23,"5003807","7367775"
-23.79215,-53.96176,ANP,"275",978764.62,"5003897","7367732"
-23.79254,-53.96088,ANP,"277",978764.61,"5003987","7367689"
-23.79293,-53.95999,ANP,"283",978762.97,"5004077","7367645"
-23.79332,-53.95911,ANP,"288",978761.96,"5004167","7367602"
-23.79371,-53.95822,ANP,"290",978761.32,"5004257","7367559"
-23.79409,-53.95734,ANP,"294",978760.63,"5004348","7367516"
-23.79449,-53.95646,ANP,"295",978760.16,"5004438","7367473"
-23.79488,-53.95557,ANP,"297",978759.71,"5004528","7367430"
-23.79526,-53.95468,ANP,"299",978759.31,"5004618","7367387"
-23.79565,-53.95380,ANP,"300",978759.18,"5004708","7367343"
-23.79604,-53.95292,ANP,"301",978759.20,"5004798","7367300"
-23.79643,-53.95203,ANP,"298",978760.27,"5004889","7367257"
-23.79682,-53.95115,ANP,"293",978761.22,"5004978","7367214"
-23.79721,-53.95026,ANP,"291",978761.63,"5005069","7367171"
-23.79760,-53.94938,ANP,"290",978762.00,"5005159","7367128"
-23.79799,-53.94849,ANP,"290",978762.48,"5005249","7367085"
-23.79838,-53.94761,ANP,"286",978763.16,"5005339","7367041"
-23.79877,-53.94672,ANP,"289",978762.45,"5005429","7366998"
-23.79915,-53.94584,ANP,"299",978760.72,"5005519","7366956"
-23.79955,-53.94496,ANP,"304",978759.36,"5005609","7366912"
-23.79993,-53.94407,ANP,"310",978757.72,"5005700","7366869"
-23.80032,-53.94318,ANP,"312",978757.23,"5005790","7366826"
-23.80071,-53.94230,ANP,"311",978757.85,"5005880","7366783"
-23.80110,-53.94142,ANP,"308",978758.66,"5005970","7366739"
-23.80149,-53.94053,ANP,"302",978759.60,"5006060","7366696"
-23.80188,-53.93965,ANP,"299",978760.45,"5006150","7366653"
-23.80227,-53.93876,ANP,"295",978761.30,"5006240","7366610"
-23.80266,-53.93788,ANP,"291",978762.31,"5006331","7366567"
-23.80305,-53.93700,ANP,"287",978763.54,"5006421","7366524"
-23.80344,-53.93611,ANP,"281",978764.94,"5006510","7366481"
-23.80382,-53.93523,ANP,"276",978766.53,"5006601","7366438"
-23.80421,-53.93434,ANP,"270",978768.03,"5006691","7366394"
