LAT,LONG,GOBS
-22.18139,-54.66769,978639.44
-22.18585,-54.67319,978641.76
-22.19053,-54.67943,978641.67
-22.19469,-54.68487,978640.59
-22.19886,-54.69025,978638.84
-22.20408,-54.69705,978638.31
-22.20825,-54.70247,978636.68
-22.21244,-54.70791,978635.62
-22.21662,-54.71333,978634.0
-22.2208,-54.71877,978633.66
-22.22255,-54.72586,978632.27
-22.2223,-54.73318,978630.88
-22.22184,-54.74035,978631.51
-22.2211,-54.74837,978633.46
-22.22079,-54.75789,978631.21
-22.22335,-54.76432,978630.74
-22.22462,-54.77148,978630.52
-22.22522,-54.77824,978632.08
-22.22579,-54.78636,978632.48
-22.22652,-54.79296,978630.92
-22.22837,-54.80297,978630.57
-22.22977,-54.79984,978631.02
-22.23359,-54.79932,978633.2
-22.23724,-54.79946,978634.94
-22.24139,-54.80047,978636.6
-22.24561,-54.80138,978636.42
-22.24942,-54.80208,978636.52
-22.25365,-54.80308,978635.64
-22.25796,-54.80321,978637.74
-22.26229,-54.80318,978640.88
-22.26819,-54.80533,978644.36
-22.22608,-54.76699,978631.3
-22.23035,-54.76648,978632.11
-22.23378,-54.76505,978633.09
-22.23614,-54.76256,978635.09
-22.23867,-54.7598,978636.83
-22.24097,-54.75724,978637.75
-22.24443,-54.75697,978639.17
-22.24674,-54.75396,978640.26
-22.22941,-54.77836,978632.12
-22.23322,-54.77789,978632.64
-22.23754,-54.7774,978633.25
-22.24102,-54.7767,978634.83
-22.24485,-54.77613,978635.44
-22.24898,-54.77554,978636.51
-22.25294,-54.77461,978637.22
-22.2514,-54.77005,978636.79
-22.25183,-54.7657,978638.32
-22.22471,-54.74585,978633.7
-22.22768,-54.74353,978633.75
-22.23134,-54.74062,978634.59
-22.23465,-54.73802,978635.94
-22.23793,-54.73537,978636.07
-22.24039,-54.73224,978635.7
-22.24265,-54.72958,978635.61
-22.24517,-54.72644,978636.08
-22.23777,-54.73216,978634.48
-22.23636,-54.72876,978634.78
-22.23532,-54.72622,978635.56
-22.21143,-54.7009,978637.53
-22.21433,-54.69821,978639.5
-22.21724,-54.69572,978642.11
-22.21996,-54.69324,978639.53
-22.22308,-54.69034,978637.85
-22.22163,-54.68705,978637.25
-22.21949,-54.68447,978638.06
-22.21773,-54.68363,978638.54
-22.21666,-54.7552,978631.57
-22.21327,-54.75611,978631.45
-22.21032,-54.75412,978632.2
-22.20737,-54.75224,978633.24
